onset	duration	trial_type	value	sample	triallength
2.0	3.0	right_hand	4	2000	6.04
26.243	3.0	right_hand	4	26243	5.92
37.164	3.0	right_hand	4	37164	6.04
48.205	3.0	left_hand	2	48205	6.04
59.246	3.0	left_hand	2	59246	6.04
70.287	3.0	right_hand	4	70287	6.04
81.328	3.0	right_hand	4	81328	4.12
90.449	3.0	left_hand	2	90449	5.44
107.771	3.0	left_hand	2	107771	6.04
118.812	3.0	right_hand	4	118812	4.44
128.253	3.0	left_hand	2	128253	3.88
149.656	3.0	right_hand	4	149656	4.44
159.097	3.0	left_hand	2	159097	4.72
168.818	3.0	left_hand	2	168818	6.04
179.859	3.0	right_hand	4	179859	5.84
205.302	3.0	left_hand	2	205302	4.56
214.863	3.0	right_hand	4	214863	4.44
224.304	3.0	left_hand	2	224304	4.88
247.506	3.0	right_hand	4	247506	3.56
256.067	3.0	right_hand	4	256067	6.04
267.108	3.0	left_hand	2	267108	6.04
278.149	3.0	right_hand	4	278149	6.04
308.953	3.0	right_hand	4	308953	6.04
319.994	3.0	left_hand	2	319994	4.24
336.476	3.0	right_hand	4	336476	3.04
344.517	3.0	right_hand	4	344517	4.08
353.598	3.0	left_hand	2	353598	4.2
362.799	3.0	left_hand	2	362799	3.52
385.802	3.0	left_hand	2	385802	3.6
394.403	3.0	left_hand	2	394403	4.32
403.724	3.0	right_hand	4	403724	6.04
414.765	3.0	left_hand	2	414765	6.04
433.247	3.0	left_hand	2	433247	4.76
443.008	3.0	right_hand	4	443008	5.56
461.169	3.0	right_hand	4	461169	6.04
485.172	3.0	right_hand	4	485172	5.56
501.934	3.0	left_hand	2	501934	4.92
511.855	3.0	right_hand	4	511855	6.04
522.896	3.0	right_hand	4	522896	6.04
533.937	3.0	left_hand	2	533937	5.56
544.498	3.0	left_hand	2	544498	6.04
562.7	3.0	left_hand	2	562700	6.04
587.263	3.0	left_hand	2	587263	6.04
598.304	3.0	right_hand	4	598304	6.04
609.345	3.0	left_hand	2	609345	3.28
617.626	3.0	right_hand	4	617626	4.68
627.307	3.0	left_hand	2	627307	5.68
644.509	3.0	right_hand	4	644509	5.04
654.55	3.0	right_hand	4	654550	4.64
664.191	3.0	left_hand	2	664191	4.72
738.801	3.0	both_hand	1	738801	3.44
747.242	3.0	both_hand	1	747242	4.96
791.168	3.0	both_hand	1	791168	5.88
802.049	3.0	rest	3	802049	6.04
813.09	3.0	both_hand	1	813090	5.32
829.772	3.0	both_hand	1	829772	6.04
860.696	3.0	rest	3	860696	4.92
870.616	3.0	both_hand	1	870616	6.04
888.338	3.0	both_hand	1	888338	6.04
904.9	3.0	both_hand	1	904900	6.04
915.941	3.0	both_hand	1	915941	5.32
926.262	3.0	rest	3	926262	4.2
935.463	3.0	both_hand	1	935463	4.04
973.668	3.0	rest	3	973668	5.64
984.309	3.0	both_hand	1	984309	5.28
1031.715	3.0	rest	3	1031715	4.44
1041.156	3.0	both_hand	1	1041156	6.04
1052.197	3.0	both_hand	1	1052197	3.8
1075.68	3.0	both_hand	1	1075680	4.52
1092.601	3.0	rest	3	1092601	5.12
1102.722	3.0	both_hand	1	1102722	5.36
1113.083	3.0	rest	3	1113083	5.8
1123.884	3.0	both_hand	1	1123884	6.04
1146.487	3.0	both_hand	1	1146487	6.04
1177.331	3.0	both_hand	1	1177331	5.4
1194.093	3.0	rest	3	1194093	6.04
1205.134	3.0	rest	3	1205134	3.68
1219.776	3.0	rest	3	1219776	4.12
1241.419	3.0	rest	3	1241419	6.04
1265.022	3.0	rest	3	1265022	3.32
1273.343	3.0	both_hand	1	1273343	5.12
1361.915	3.0	both_hand	1	1361915	6.04
1399.4	3.0	both_hand	1	1399400	3.76
1414.242	3.0	left_hand	2	1414242	6.04
1458.288	3.0	left_hand	2	1458288	3.16
1479.77	3.0	rest	3	1479770	4.36
1495.892	3.0	left_hand	2	1495892	4.36
1512.094	3.0	both_hand	1	1512094	4.0
1521.095	3.0	both_hand	1	1521095	3.24
1529.336	3.0	rest	3	1529336	3.32
1557.1	3.0	both_hand	1	1557100	6.04
1588.344	3.0	left_hand	2	1588344	3.56
1610.627	3.0	right_hand	4	1610627	6.04
1646.872	3.0	right_hand	4	1646872	3.84
1733.163	3.0	both_hand	1	1733163	4.12
1742.284	3.0	left_hand	2	1742284	4.48
1757.526	3.0	both_hand	1	1757526	4.16
1778.569	3.0	right_hand	4	1778569	4.12
1833.216	3.0	right_hand	4	1833216	6.04
1844.257	3.0	left_hand	2	1844257	5.24
1854.498	3.0	right_hand	4	1854498	5.08
1864.579	3.0	left_hand	2	1864579	5.36
1874.94	3.0	left_hand	2	1874940	3.0
1882.941	3.0	right_hand	4	1882941	5.4
1893.342	3.0	right_hand	4	1893342	6.04
1911.024	3.0	left_hand	2	1911024	6.0
1929.066	3.0	right_hand	4	1929066	4.32
1952.949	3.0	left_hand	2	1952949	6.04
1963.99	3.0	left_hand	2	1963990	4.04
1973.031	3.0	right_hand	4	1973031	5.36
1983.392	3.0	left_hand	2	1983392	6.04
1994.433	3.0	right_hand	4	1994433	6.04
2005.474	3.0	left_hand	2	2005474	6.04
2023.316	3.0	right_hand	4	2023316	6.04
2034.357	3.0	left_hand	2	2034357	3.68
2049.999	3.0	left_hand	2	2049999	5.88
2060.88	3.0	left_hand	2	2060880	3.0
2068.88	3.0	right_hand	4	2068880	6.04
2114.726	3.0	left_hand	2	2114726	3.2
2130.888	3.0	right_hand	4	2130888	4.0
2139.889	3.0	left_hand	2	2139889	6.04
2150.93	3.0	right_hand	4	2150930	5.48
2161.411	3.0	left_hand	2	2161411	4.28
2170.692	3.0	right_hand	4	2170692	5.76
2181.453	3.0	left_hand	2	2181453	5.12
2191.574	3.0	right_hand	4	2191574	6.04
2202.615	3.0	left_hand	2	2202615	6.04
2213.656	3.0	right_hand	4	2213656	4.04
2222.697	3.0	right_hand	4	2222697	3.64
2244.26	3.0	left_hand	2	2244260	6.04
2255.301	3.0	right_hand	4	2255301	6.04
2266.342	3.0	left_hand	2	2266342	5.52
2283.584	3.0	left_hand	2	2283584	6.04
2302.105	3.0	left_hand	2	2302105	6.04
2313.146	3.0	right_hand	4	2313146	5.4
2331.428	3.0	left_hand	2	2331428	6.04
2342.469	3.0	right_hand	4	2342469	6.04
2353.51	3.0	left_hand	2	2353510	6.04
2370.832	3.0	right_hand	4	2370832	4.84
2380.673	3.0	left_hand	2	2380673	6.04
2391.714	3.0	right_hand	4	2391714	6.04
2402.755	3.0	left_hand	2	2402755	3.08
2430.559	3.0	left_hand	2	2430559	6.04
2441.6	3.0	left_hand	2	2441600	6.04
2460.482	3.0	right_hand	4	2460482	6.04
2479.244	3.0	left_hand	2	2479244	5.56
2489.805	3.0	right_hand	4	2489805	6.04
2506.367	3.0	right_hand	4	2506367	6.04
2517.408	3.0	right_hand	4	2517408	6.04
2541.49	3.0	rest	3	2541490	3.76
2550.251	3.0	both_hand	1	2550251	6.04
2581.615	3.0	both_hand	1	2581615	4.92
2603.858	3.0	rest	3	2603858	3.8
2625.301	3.0	both_hand	1	2625301	6.04
2649.304	3.0	both_hand	1	2649304	3.04
2657.345	3.0	rest	3	2657345	4.84
2693.19	3.0	both_hand	1	2693190	3.24
2701.431	3.0	rest	3	2701431	4.12
2728.674	3.0	both_hand	1	2728674	3.4
2737.075	3.0	both_hand	1	2737075	3.96
2752.797	3.0	rest	3	2752797	5.52
2763.318	3.0	both_hand	1	2763318	5.2
2773.519	3.0	both_hand	1	2773519	6.04
2818.405	3.0	both_hand	1	2818405	5.04
2828.446	3.0	rest	3	2828446	4.8
2900.256	3.0	rest	3	2900256	5.68
2910.936	3.0	both_hand	1	2910936	3.72
2953.342	3.0	rest	3	2953342	6.04
2964.383	3.0	both_hand	1	2964383	5.36
2981.385	3.0	both_hand	1	2981385	6.0
2992.386	3.0	rest	3	2992386	5.0
3043.113	3.0	both_hand	1	3043113	3.76
3065.956	3.0	both_hand	1	3065956	3.76
3074.717	3.0	rest	3	3074717	3.2
3089.359	3.0	both_hand	1	3089359	5.56
3099.92	3.0	rest	3	3099920	3.16
3133.284	3.0	left_hand	2	3133284	5.32
3161.728	3.0	both_hand	1	3161728	3.76
3189.532	3.0	rest	3	3189532	5.04
3206.014	3.0	right_hand	4	3206014	6.04
3217.055	3.0	both_hand	1	3217055	3.76
3259.901	3.0	left_hand	2	3259901	3.0
3296.145	3.0	rest	3	3296145	4.52
3312.707	3.0	both_hand	1	3312707	3.48
3321.188	3.0	left_hand	2	3321188	6.04
3332.229	3.0	rest	3	3332229	3.68
3354.592	3.0	both_hand	1	3354592	4.48
3364.073	3.0	right_hand	4	3364073	3.0
3385.276	3.0	both_hand	1	3385276	4.36
3415.8	3.0	rest	3	3415800	4.08
3430.962	3.0	left_hand	2	3430962	4.32
3453.365	3.0	right_hand	4	3453365	4.36
3462.726	3.0	rest	3	3462726	4.0
3471.727	3.0	right_hand	4	3471727	4.64
3495.929	3.0	left_hand	2	3495929	3.36
3511.891	3.0	right_hand	4	3511891	3.64
3558.818	3.0	left_hand	2	3558818	3.64
3600.464	3.0	right_hand	4	3600464	6.04
3624.787	3.0	rest	3	3624787	3.96
3639.989	3.0	left_hand	2	3639989	6.04
3665.032	3.0	rest	3	3665032	4.52
